id,product,unit,price,detail
6023,Eierlikörkremtorte,Stück,"2,60",mit Alkohol
6024,Schwarzwälder Kirschtorte,Stück,"2,80",mit Alkohol
6025,Käsesahnetorte,Stück,"2,60",
6026,Joghurtfruchttorte,Stück,"2,60",
6027,Ananassahnetorte,Stück,"2,60",
6028,Himbeersahnetorte,Stück,"2,60",
6029,Erdbeersahnetorte,Stück,"2,60",
6030,Mandarinensahnetorte,Stück,"2,60",
6031,Schokosahnetorte,Stück,"2,60",
6032,Schokorumsahnetorte,Stück,"2,60",mit Alkohol
6033,Orangensahnetorte,Stück,"2,60",
6034,Haselnußsahnetorte,Stück,"2,60",mit Alkohol
6035,Eierlikörsahnetorte,Stück,"2,60",mit Alkohol
6036,Sachertorte a la Judith,Stück,"3,00",mit Alkohol
6037,Lebkuchentorte a la Judith,Stück,"3,00",mit Alkohol
6038,Obstsahneschnitte,Stück,"2,60",
6039,Tirami Su Schnitte,Stück,"2,60",
6042,Frühlingsschnitte,Stück,"2,60",
6043,Haselnußkremtorte mit Alkohol,Stück,"2,60",mit Alkohol
6045,Schwedenkuchen,Stück,"2,40",
6046,Feuerwehrkuchen,Stück,"2,40",
6047,Schlumpfkuchen,Stück,"2,40",
6048,Raffaelotorte,Stück,"2,60",mit Alkohol
7001,Granatsplitter,Stück,"1,60","mit Alkohol, mit Fettglasur"
7002,Schokobanane,Stück,"2,20",mit Fettglasur
7003,Nugatkremring,Stück,"2,00",mit Fettglasur
7004,Nussecke,Stück,"1,85",mit Fettglasur
7005,Kokosecke,Stück,"1,85",mit Fettglasur
7006,Dreiauge,Stück,"1,30",
7008,Flammende Herzen,Stück,"2,00",mit Fettglasur
7009,Kakaozungen,Stück,"2,00",mit Fettglasur
7010,Florentiner,Stück,"2,00",
8001,Butterbreze,Stück,"1,50",
8002,Butterlaugenstange,Stück,"1,80",
8011,Bierschinkensemmel,Stück,"2,20",
8021,Salamisemmel,Stück,"2,10",
8031,Käsesemmel,Stück,"2,10",
8041,Käseschinkenbaguette,Stück,"4,10",
8051,Käsebaguette,Stück,"3,75",
8061,Schinkenbaguette,Stück,"4,10",
8071,Salamikäsebaguette,Stück,"4,10",
8142,Schnitzelbaguette,Stück,"4,20",
8091,Eiersemmel,Stück,"2,30",
8101,Camembertsemmel,Stück,"2,40",
8111,Tomatemozzarellasemmel,Stück,"2,30",
8121,Käsebreze,Stück,"2,20",
8131,Putenbrustsemmel,Stück,"2,40",
8141,Obazderkornspitz,Stück,"2,30",
8502,Herzküchle,Stück,"1,60",mit Alkohol verbacken
8503,Muttertagsherz klein,ganz,"26,00",mit Alkohol
